wav, nm;  tau[toa:10km];  tau[toa:2km];  tau[toa:0km]
297.0  6.545770e-08  4.803490e-07  7.319456e-07
297.1  6.567523e-08  4.564681e-07  7.306561e-07
297.2  6.789732e-08  5.196044e-07  8.028578e-07
297.3  7.986039e-08  4.910172e-07  7.420247e-07
297.4  8.225512e-08  5.862485e-07  9.073147e-07
297.5  8.384504e-08  5.720559e-07  8.879735e-07
297.6  9.721562e-08  6.622422e-07  1.042288e-06
297.7  9.137552e-08  6.551227e-07  1.103216e-06
297.8  9.190663e-08  6.826454e-07  1.119002e-06
297.9  9.675820e-08  7.415045e-07  1.197377e-06
298.0  9.764984e-08  7.355727e-07  1.206445e-06
298.1  1.118428e-07  8.002454e-07  1.286576e-06
298.2  1.153339e-07  7.673373e-07  1.246376e-06
298.3  1.143518e-07  8.246115e-07  1.363120e-06
298.4  1.140859e-07  9.239653e-07  1.522607e-06
298.5  1.338575e-07  9.977808e-07  1.612442e-06
298.6  1.393000e-07  1.071598e-06  1.745864e-06
298.7  1.407128e-07  1.122861e-06  1.861829e-06
298.8  1.613834e-07  1.193790e-06  1.947942e-06
298.9  1.648817e-07  1.264101e-06  2.107763e-06
299.0  1.843682e-07  1.402991e-06  2.288846e-06
299.1  1.817287e-07  1.448694e-06  2.389012e-06
299.2  1.976234e-07  1.537119e-06  2.527567e-06
299.3  2.147144e-07  1.660366e-06  2.678401e-06
299.4  2.302703e-07  1.775956e-06  2.942251e-06
299.5  2.552917e-07  1.940202e-06  3.160169e-06
299.6  2.814443e-07  2.071906e-06  3.384396e-06
299.7  2.912222e-07  2.230477e-06  3.599322e-06
299.8  3.201321e-07  2.420730e-06  3.871421e-06
299.9  3.385893e-07  2.527601e-06  4.096816e-06
300.0  3.590494e-07  2.701328e-06  4.351095e-06
300.1  3.732325e-07  2.811504e-06  4.489585e-06
300.2  3.978882e-07  2.969648e-06  4.769226e-06
300.3  4.222548e-07  3.099820e-06  4.997789e-06
300.4  4.296941e-07  3.196834e-06  5.150022e-06
300.5  4.384815e-07  3.323292e-06  5.322990e-06
300.6  4.668953e-07  3.438912e-06  5.508020e-06
300.7  4.705813e-07  3.471598e-06  5.608787e-06
300.8  4.811415e-07  3.566342e-06  5.734010e-06
300.9  4.901921e-07  3.615470e-06  5.816549e-06
301.0  4.963107e-07  3.658500e-06  5.849952e-06
301.1  4.860409e-07  3.640752e-06  5.870030e-06
301.2  4.884450e-07  3.634828e-06  5.852798e-06
301.3  4.832792e-07  3.639335e-06  5.852104e-06
301.4  4.765300e-07  3.656230e-06  5.925174e-06
301.5  4.763717e-07  3.642834e-06  5.882905e-06
301.6  4.571114e-07  3.536674e-06  5.789365e-06
301.7  4.279902e-07  3.363823e-06  5.550254e-06
301.8  3.939094e-07  3.161109e-06  5.235837e-06
301.9  3.550920e-07  2.950592e-06  4.909524e-06
302.0  3.136590e-07  2.649787e-06  4.503197e-06
302.1  2.599479e-07  2.373205e-06  4.081377e-06
302.2  2.235235e-07  2.082854e-06  3.611323e-06
302.3  2.032040e-07  1.817713e-06  3.170684e-06
