# # wav (nm)  tau(z=0km)
323.0    0.000e+00
323.1    0.000e+00
323.2    0.000e+00
323.3    0.000e+00
323.4    0.000e+00
323.5    0.000e+00
323.6    0.000e+00
323.7    0.000e+00
323.8    0.000e+00
323.9    0.000e+00
324.0    0.000e+00
324.1    0.000e+00
324.2    0.000e+00
324.3    0.000e+00
324.4    0.000e+00
324.5    0.000e+00
324.6    0.000e+00
324.7    0.000e+00
324.8    0.000e+00
324.9    0.000e+00
325.0    0.000e+00
325.1    0.000e+00
325.2    0.000e+00
325.3    0.000e+00
325.4    0.000e+00
325.5    0.000e+00
325.6    0.000e+00
325.7    0.000e+00
325.8    0.000e+00
325.9    0.000e+00
326.0    0.000e+00
326.1    0.000e+00
326.2    0.000e+00
326.3    0.000e+00
326.4    0.000e+00
326.5    0.000e+00
326.6    0.000e+00
326.7    0.000e+00
326.8    0.000e+00
326.9    0.000e+00
327.0    0.000e+00
327.1    0.000e+00
327.2    0.000e+00
327.3    0.000e+00
327.4    0.000e+00
327.5    0.000e+00
327.6    0.000e+00
327.7    0.000e+00
327.8    0.000e+00
327.9    0.000e+00
328.0    0.000e+00
328.1    0.000e+00
328.2    0.000e+00
328.3    0.000e+00
328.4    0.000e+00
328.5    0.000e+00
328.6    0.000e+00
328.7    0.000e+00
328.8    0.000e+00
328.9    0.000e+00
329.0    0.000e+00
329.1    0.000e+00
329.2    0.000e+00
329.3    0.000e+00
329.4    0.000e+00
329.5    0.000e+00
329.6    0.000e+00
329.7    0.000e+00
329.8    0.000e+00
329.9    0.000e+00
330.0    0.000e+00
330.1    0.000e+00
330.2    0.000e+00
330.3    0.000e+00
330.4    0.000e+00
330.5    0.000e+00
330.6    0.000e+00
330.7    0.000e+00
330.8    0.000e+00
330.9    0.000e+00
331.0    0.000e+00
331.1    0.000e+00
331.2    0.000e+00
331.3    0.000e+00
331.4    0.000e+00
331.5    0.000e+00
331.6    0.000e+00
331.7    0.000e+00
331.8    0.000e+00
331.9    0.000e+00
332.0    0.000e+00
332.1    0.000e+00
332.2    0.000e+00
332.3    0.000e+00
332.4    0.000e+00
332.5    0.000e+00
332.6    0.000e+00
332.7    0.000e+00
332.8    0.000e+00
332.9    0.000e+00
333.0    0.000e+00
333.1    0.000e+00
333.2    0.000e+00
333.3    0.000e+00
333.4    0.000e+00
333.5    0.000e+00
333.6    0.000e+00
333.7    0.000e+00
333.8    0.000e+00
333.9    0.000e+00
334.0    0.000e+00
334.1    0.000e+00
334.2    0.000e+00
334.3    0.000e+00
334.4    0.000e+00
334.5    0.000e+00
334.6    0.000e+00
334.7    0.000e+00
334.8    0.000e+00
334.9    0.000e+00
335.0    0.000e+00
335.1    0.000e+00
335.2    0.000e+00
335.3    7.571e-06
335.4    2.296e-05
335.5    9.979e-06
335.6    2.409e-05
335.7    2.260e-05
335.8    0.000e+00
335.9    5.100e-06
336.0    0.000e+00
336.1    0.000e+00
336.2    0.000e+00
336.3    4.903e-06
336.4    0.000e+00
336.5    4.247e-06
336.6    3.245e-05
336.7    1.925e-05
336.8    4.143e-05
336.9    0.000e+00
337.0    0.000e+00
337.1    0.000e+00
337.2    7.708e-06
337.3    5.849e-06
337.4    0.000e+00
337.5    1.805e-05
337.6    1.408e-06
337.7    4.075e-05
337.8    2.316e-05
337.9    1.157e-05
338.0    1.282e-05
338.1    4.405e-05
338.2    2.269e-05
338.3    5.278e-05
338.4    5.000e-05
338.5    5.490e-05
338.6    5.897e-05
338.7    8.102e-05
338.8    9.367e-05
338.9    1.058e-04
339.0    1.019e-04
339.1    1.227e-04
339.2    1.299e-04
339.3    1.350e-04
339.4    1.278e-04
339.5    1.650e-04
339.6    1.810e-04
339.7    1.839e-04
339.8    1.922e-04
339.9    2.144e-04
340.0    2.302e-04
340.1    2.501e-04
340.2    2.721e-04
340.3    2.845e-04
340.4    3.116e-04
340.5    3.371e-04
340.6    3.601e-04
340.7    4.080e-04
340.8    4.111e-04
340.9    4.494e-04
341.0    4.740e-04
341.1    5.186e-04
341.2    5.594e-04
341.3    5.925e-04
341.4    6.474e-04
341.5    6.723e-04
341.6    7.279e-04
341.7    7.488e-04
341.8    7.900e-04
341.9    8.458e-04
342.0    8.793e-04
342.1    9.296e-04
342.2    9.729e-04
342.3    1.004e-03
342.4    1.050e-03
342.5    1.097e-03
342.6    1.136e-03
342.7    1.161e-03
342.8    1.197e-03
342.9    1.219e-03
343.0    1.250e-03
343.1    1.269e-03
343.2    1.278e-03
343.3    1.293e-03
343.4    1.304e-03
343.5    1.324e-03
343.6    1.333e-03
343.7    1.340e-03
343.8    1.349e-03
343.9    1.349e-03
344.0    1.347e-03
344.1    1.330e-03
344.2    1.297e-03
344.3    1.236e-03
344.4    1.169e-03
344.5    1.109e-03
344.6    1.034e-03
344.7    9.571e-04
344.8    8.772e-04
344.9    8.093e-04
345.0    7.271e-04
345.1    6.586e-04
345.2    5.951e-04
345.3    5.260e-04
345.4    4.794e-04
345.5    4.052e-04
345.6    3.703e-04
345.7    3.244e-04
345.8    2.862e-04
345.9    2.507e-04
346.0    2.202e-04
346.1    1.902e-04
346.2    1.667e-04
346.3    1.456e-04
346.4    1.243e-04
346.5    1.038e-04
346.6    8.788e-05
346.7    6.546e-05
346.8    5.478e-05
346.9    4.956e-05
347.0    3.862e-05
347.1    3.159e-05
347.2    2.198e-05
347.3    1.520e-05
347.4    8.593e-06
347.5    5.552e-06
347.6    6.634e-06
347.7    4.124e-06
347.8    4.125e-06
347.9    0.000e+00
348.0    3.940e-06
348.1    2.232e-06
348.2    0.000e+00
348.3    0.000e+00
348.4    0.000e+00
348.5    0.000e+00
348.6    1.013e-07
348.7    2.434e-06
348.8    0.000e+00
348.9    3.353e-06
349.0    0.000e+00
349.1    1.003e-05
349.2    5.461e-06
349.3    6.633e-06
349.4    9.660e-06
349.5    1.648e-05
349.6    1.045e-05
349.7    1.832e-05
349.8    2.105e-05
349.9    2.530e-05
350.0    2.930e-05
350.1    3.395e-05
350.2    2.904e-05
350.3    3.875e-05
350.4    4.674e-05
350.5    4.867e-05
350.6    5.488e-05
350.7    5.609e-05
350.8    6.232e-05
350.9    6.655e-05
351.0    7.403e-05
351.1    8.378e-05
351.2    8.560e-05
351.3    9.447e-05
351.4    9.646e-05
351.5    1.007e-04
351.6    1.117e-04
351.7    1.189e-04
351.8    1.274e-04
351.9    1.308e-04
352.0    1.409e-04
352.1    1.491e-04
352.2    1.627e-04
352.3    1.643e-04
352.4    1.748e-04
352.5    1.838e-04
352.6    1.952e-04
352.7    1.982e-04
352.8    2.115e-04
352.9    2.240e-04
353.0    2.407e-04
353.1    2.468e-04
353.2    2.618e-04
353.3    2.704e-04
353.4    2.849e-04
353.5    3.043e-04
353.6    3.153e-04
353.7    3.268e-04
353.8    3.391e-04
353.9    3.558e-04
354.0    3.768e-04
354.1    3.902e-04
354.2    4.075e-04
354.3    4.254e-04
354.4    4.430e-04
354.5    4.647e-04
354.6    4.858e-04
354.7    5.117e-04
354.8    5.371e-04
354.9    5.614e-04
355.0    5.882e-04
355.1    6.108e-04
355.2    6.400e-04
355.3    6.731e-04
355.4    7.017e-04
355.5    7.339e-04
355.6    7.743e-04
355.7    8.074e-04
355.8    8.488e-04
355.9    8.903e-04
356.0    9.278e-04
356.1    9.802e-04
356.2    1.021e-03
356.3    1.076e-03
356.4    1.134e-03
356.5    1.191e-03
356.6    1.251e-03
356.7    1.315e-03
356.8    1.380e-03
356.9    1.453e-03
357.0    1.528e-03
357.1    1.610e-03
357.2    1.695e-03
357.3    1.790e-03
357.4    1.881e-03
357.5    1.981e-03
357.6    2.084e-03
357.7    2.191e-03
357.8    2.306e-03
357.9    2.429e-03
358.0    2.555e-03
358.1    2.683e-03
358.2    2.819e-03
358.3    2.959e-03
358.4    3.097e-03
358.5    3.248e-03
358.6    3.395e-03
358.7    3.550e-03
358.8    3.708e-03
358.9    3.865e-03
359.0    4.030e-03
359.1    4.196e-03
359.2    4.351e-03
